document	label
누가 무슨 말인가를 속삭이는데 무슨 말인지 알아듣지 못하는	0
이성의 무릎 위에서 떨어지는	0
자신을 검은 천으로 덮는	0
울음을 그쳤다가 다시 울기 시작한	1
상대방을 불쌍하게 여긴	0
검은 눈이 나오는	1
물건이 타는데 불길은 없고 연기만 난	0
빨갛게 타는 저녁노을을 바라보는	1
대나무 숲에서 헤매는	0
키스를 했는데 몹시 불만스러웠던	0
귀엽지 않은 아기가 나타나는	0
연장을 땅에 박아 지평이 갈라진	1
추한 남자가 나타나는	0
유난히 큰 여자의 유방을 봤는데도 성적 충동이 전혀 일지 않았던	1
하늘에서 달이 떨어졌는데 흔적도 없이 사라져 버리는	0
남이 파 놓은 함정에 빠지는	0
죽여야 할 돼지나 싸워야 할 돼지가 갑자기 사람이 되는	0
벗어 두었던 옷을 찾지 못하는	0
강물에 차가 빠진	0
교실에서 자신의 책상과 걸상을 찾지 못하는	0
갈증을 해소 시키지 못한	0
거친 행동을 하는데 상대방이 계속 빙글빙글 웃는	0
시험에 떨어져서 슬퍼하거나, 많은 사람들로부터 질책 받는	1
자기의 발이 밟히는	0
자기의 목소리를 녹음하는	0
운동경기에서 선두로 나선	0
색깔이 탁하고 묽은 극히 소량의 인분을 손으로 만지는	0
몸에 묻은 피를 닦아 내거나 옷을 세탁하는	0
처녀가 단도로 자기의 가슴을 찔렀다가 뽑으면서 깨어난	0
충치가 빠지는	0
이가 빠지는	0
들것을 두 사람이 마주 잡고 있는	0
옷이 물에 흠뻑 젖는	1
돼지새끼를 쓰다듬은 후 아이를 낳은	0
음식을 먹는데 그 맛이 너무 신	0
아기가 나타나는	1
맹수 이상으로 사나운 돼지가 갑자기 방에서 사람으로 변하는	0
울고 있는 소녀를 보는	0
온몸에 구렁이가 감겨 있는데 호랑이가 바위로 쳐서 토막을 낸	1
소년이 나타나는	1
수평선 너머로 배가 사라진 것을 본	1
무엇인가를 자꾸만 쓰다듬는	0
애인과 함께 빙과류를 사먹는	1
부패하고 상한 물건을 얻은	0
본인이 무서운 날짐승이 되어 약한 가축을 채가는	1
갓난아이가 출산 되거나 여러 명 모여 있는	1
아내가 문 밖에서 마주보고 있는	0
정신이상인 여자가 연애편지를 쓴	1
남자가 옷을 벗는	0
호랑이나 사자가 자신을 피해서 도망친	0
어린아이를 양자로 삼는	0
무서움을 느낄 정도로 비바람이 세차게 몰아치는	0
포로가 되거나 폭사 당한	1
누군가에게 잘못했다고 비는	0
쫓아오던 뱀이 사람으로 탈바꿈한	0
여행을 하던 중에 길가에 앉아서 휴식을 취했던	0
키스를 하는데 어느 사이에 성기가 팽창하는	0
구렁이가 허물을 벗고 사라지는	1
돼지고기를 먹은	0
신고 있는 신을 잃어 버리는	0
누군가의 무릎을 베고 누워 있었던	1
뒤집힌 배가 떠다니는	0
보물을 찾기 위해서 흙을 헤치자 해골이 나온	1
높은 곳에 전화기가 매달려 있어 전화를 걸지 못한	0
다른 사람의 가슴에 얼굴을 묻고 있는	1
금방 출생한 아이를 안는	0
수렁에 빠진 후 몸에 풀이 감겨 나오지 못하는	0
인공으로 만든 해골표본을 보는	1
누군가에게 충고를 듣는	0
시골 노인들이 한꺼번에 몰려와 화투를 치자고 한	0
물이 없는 갯바닥에 물고기가 있는	1
불 가운데 있으면서도 타죽지 않은	0
위를 향한 코를 보는	0
짧고 굵은 손가락이 보이는	1
우물을 발견하거나 찾아서 헤맨	1
발이 더럽혀져 있는	0
남자 배우의 연기를 보는	0
개가 두 발로 서서 움직이는	0
아이가 옷을 벗는	1
콧물이 자꾸 나온	1
중환자가 새 옷을 입고 집 주변을 돌아 다니는	0
깡패에게 협박 당하는	0
상대방이 흥겹게 춤추며 노래한 것을 본	0
지평선 위에서 검은 연기나 검은 구름이 피어 오른	0
합창단의 합창을 듣는	0
감기나 기타 질병에 걸리지 않았는데 심하게 기침하는	1
집안 구석구석에서 식초냄새가 진동하는	0
갓난아이가 똥오줌을 싸서 옷과 몸에 묻어 기분이 나빠진	0
벽에서 가스가 새어 나오는 것을 보는	1
상대방의 손을 잡았는데 몹시 차갑게 느껴졌던	0
사람을 우물에 넣고 묻어 버린	1
상대방이 노래 부르거나 흐느껴 운	0
공을 상대편 코트로 공격하지 못한	0
곶감을 곶감꽂이에서 한 개씩 빼먹는	1
줄타기를 하다가 떨어져 죽는 것을 본	1
수화기를 붙잡고 웃거나 짜증을 낸	1
여자가 옷을 벗는	0
자신이 살려달라고 비명을 지르고 고함을 친	1
수탉이 우는 소리를 듣는	1
뱀이 자신을 물고 사라지는	1
파도가 부딪히는 바위에 서서 있는	0
엎드려 있는 사람을 젖히는	0
달리기, 그네뛰기 등 움직임이 빠른 운동이나 오락을 하는	0
분뇨 차가 냄새를 풍기면서 옆을 지나간	0
경도가 걸레에 묻은 것을 보는	1
춤추는 말을 본	0
여러 가지 색깔의 돼지새끼 들이 태어나는 것을 보고 출산한	0
꿈속에 나타난 사람이 희미하게 보이는	0
시험 감독관 앞에서 답안지를 작성하는	0
물 속에 들어가도 옷이 젖지 않는	0
상대방과 마주보고 서로 활짝 웃는	1
악행을 하면서 양심에 가책을 받은	0
심한 욕을 하는데도 상대방은 묵묵부답 인	1
누군가가 자신을 공격하려는 데 몹시 무섭게 느낀	0
수렁에 빠져서 허우적거리는 황소를 구해준	1
살아 있는 어른이 어린아이로 보이는	0
빨리 가야 하는데 마음만 조급할 뿐 걸음을 걷지 못하는	0
혼담이나 사업상의 일로 썩은 과일을 얻어오는	0
뒤쫓아오는 여자를 손으로 밀어서 넘어뜨린	0
품삯을 달라는데 상대방이 주지 않는	0
남의 집 개가 자기 집에 접근하려고 했던	0
높은 건물에서 뛰어내렸는데 죽지 않는	1
집에서 집안 식구가 아닌 남이 나가는	1
우체부가 가방이 터지도록 편지를 담아 열려진 채로 걸어오는 걸 본	1
쉬지 않고 재채기하는	0
인쇄 물감이 손발에 묻어 잘 씻기지 않는	0
심지, 휘발유, 라이터의 돌 중 어느 한가지라도 없어서 불을 켜지 못하는	0
어두운 곳에서 무엇을 찾아 헤맨	0
어두컴컴한 길을 걷는	1
상대방에 대해 공포감을 가진	0
청중과 함께 웃는	0
방게 한 보따리를 방으로 가지고 들어가는	1
해나 달이 떨어져 구르는 것을 보는	1
누런 봉투의 편지를 받아 본	1
결혼식장에 입장했는데 상대방은 물론 하객이 한 사람도 없는	1
우렁찬 하느님의 말을 공중에서 듣는	0
맞춘 옷이 몸에 맞지 않는	0
아무 곳에서나 엎드려 있는	0
나체를 가리려고 하는데 사지가 말을 듣지 않는	0
상대방이 정면으로 걸어오는	0
공중에서 나는 큰소리를 듣는	0
많은 사람이 쇠고기를 자르는	0
미역국을 먹는	0
정신이 아찔할 정도로 어딘가에 강하게 부딪힌	1
돼지 한 마리가 갑자기 여러 마리로 변하는	1
애인이 다른 사람과 사진 찍는 걸 보고 운	1
진찰실에 누워있는	1
흐르는 물이 갑자기 폭포로 변해서 소리가 요란한	1
한 사람이 죽기도 하고 살아 있기도 하여 쌍둥이처럼 나란히 있는	0
돼지 코를 보는	0
무엇에 불만이 생긴	0
유난스럽게 매끄러운 미역국을 먹는	0
물건이 빈약하게 느껴진	0
상수리나무를 돌로 쳐서 상수리가 떨어지는	1
무조건 호통만 쳤던	1
경찰관이 집을 포위하는	0
죽은 사람이 다시 살아나는	0
적병을 차례대로 총살하는	1
무엇엔가 크게 놀라는	1
발이 가려운	1
자기 앞에 누군가가 엎드린	1
사육하는 짐승을 늑대가 물어서 죽이는	1
성교 도중 사람이 갑자기 나타나 목적을 달성하지 못하는	0
맨발의	0
사람이나 곤충 등 생명체를 죽이는	1
눈을 맞으며 걷는 사람을 본	0
지난 날 자기에게 불리하게 대하던 사람이 나타나는	0
아버님 사망이란 전보를 받아 본	0
머리를 빗는데 이가 떨어지는	1
옷 한 벌을 모두 갖춰 입는	1
편지봉투 안에 수표가 들어있는	0
경기장에 많은 관중이 모인	0
고통 끝에 평안한 마음을 느낀	1
물을 시원하게 마시지 못하는	0
소를 팔러 간	0
형제가 기분 나쁜 태도를 취하는	1
차 바퀴에 펑크가 나서 고친	1
낙타의 육봉이 기억 속에 남는	1
상대방을 미워한	0
손을 흔드는	0
반듯하게 누워 있는데 발치에 누가 앉아 있었던	0
노랫소리가 계속해서 들려온	1
사랑하는 사람과 입맞춤을 했는데 몹시 만족스러웠던	1
동물이나 인간의 뼈를 보는	0
흔들의자에 관련된	1
기차가 폭파되거나 뒤집혀서 엎어진	0
거울이 떨어지는	0
기차 철교를 걸어서 건너는	0
정상까지 오르는데 멀다고 느껴진	0
방망이로 귀신을 잡아 흔적도 없이 해치우는	1
의사를 보았거나 의사가 되는	1
밭의 신선한 채소를 보는	1
잇몸을 치료하는	1
다리가 매력적인	1
맹수가 노려보는 앞에서 얼어붙은	0
함께 가야 할 사람과 따로 떨어져서 걸어간	0
권총이 호주머니에서 생기는	1
본인의 눈에 뭔가가 들어가는	0
알몸을 아무 부끄러움 없이 노출시키는	0
열쇠가 망가지는	0
밥상을 받았는데 밥은 없고 반찬만 즐비한	0
상대방을 찬사 하거나 학대한	0
남이 노래하는데 어울려서 북을 치며 장단을 맞추는	1
나무 사이로 검은 화물차가 달리거나 서 있는 것을 본	0
검은 택시가 방으로 들어와 있는	0
어떤 물체가 허공에서 완전히 분해되어 버리는 것을 본	0
갖가지 물체가 어지럽게 뒹구는	1
누군가의 가슴을 강하게 때리거나 칼로 찌른	1
다리 위에서 사람을 기다린	1
자기가 배설한 인분이 수북이 쌓여있는	1
밀폐된 곳으로 안내원이 사라지는	0
창공으로 도망치는 새를 보는	0
화장실에서 대변을 처가는	1
차만 쳐다보고 타지 않은	0
상대방이 온순하고 착하게 보인	0
남이 듣지 못하도록 서로 속삭이는	0
사물의 형체를 안개가 잔뜩 끼어서 알아볼 수 없는	0
과일이나 과자 등을 바라보기만 하고 먹지는 않았던	0
유부녀와 아무런 거리낌없이 성교하는	1
이성의 무릎 위에 앉아 있는	1
배설하려고 화장실에 갔는데 변비로 인해 배설이 잘 되지 않아서 한참을 망설이는	0
이성에게 욕정이 생기지 않는	0
논밭의 흙이 검게 보이는	1
키가 작은 남자가 나타나는	1
실컷 얻어터진	0
떨어진 신을 신는	0
차를 탄 채 자기 집으로 들어온 사람을 본	1
남의 간호를 받으면서 병고를 겪는	1
옆에 있는 사람이 새빨간 옷을 입고 있는	0
방에다 무거운 책가방을 놓고 나오는	0
자신이 세탁한 옷을 물그릇에 담가둔 것을 보는	1
검객이 싸우는	1
낡은 옷을 입는	0
벌거벗은 가슴을 보는	0
전쟁에서 패배한	0
죽은 사람의 소지품이나 유서 등 그와 관련된 물건이 자기에게 배달되는	1
심장이 나오는	1
선 채로 성교하는 것을 본	1
한 개뿐인 빨간 과일을 따먹는	1
입을 다물고 있는	1
한밤중에 등불을 켠 채 가라고 한	1
미소를 짓는 얼굴의	1
가족이 죽었는데도 기분이 전혀 동요되지 않는	0
물건을 던지거나 떨어뜨려서 박살 나는	1
돼지를 파는	1
꽃은 졌는데 열매가 맺지 않는	0
겨우 한 사람만 지나갈 수 있는 길을 가는데 반대편에서 다른 사람이 걸어오는	1
어떤 사람에게 물건을 파는	1
돼지를 사다가 잡아서 파는	0
분뇨를 보는 소	1
파계승이라고 판단된 사람과 관계한	0
상대방이 추하다고 느낀	0
여자의 옷을 천천히 벗기는 것을 구경하는	1
콩을 많이 보는	1
고양이와 강아지가 함께 있는	0
이성이 애정을 표현해온	0
관중석에 관람자가 아무도 없는	1
성교를 하다가 실제로 사정을 해버린	0
행위나 전망에서 끝이 없다고 생각된	0
악한 일을 행하려는	1
자기가 찌른 사람의 몸에서 피가 나고 그 피가 자기 몸에 묻는	1
큰 웃음을 짓는 얼굴의	1
자신의 결혼식에 상대가 바뀌어 버린	1
상대방이 냉정한 태도를 취한	1
여행 하는 도중에 많은 우여곡절을 경험한	1
강물에서 몸을 씻는데 오히려 몸이 더러워진	0
집에 금고를 들이는	1
짝사랑에 빠졌던 여자가 자기 품에 안기는	0
등이 보이더라도 얼굴이 보이는	1
짐을 가득 실은 소가 지쳐 있는	0
전신이 인분이나 소변 통에 빠진	1
눈앞의 길이 움직이듯 꾸불꾸불 뻗어 나가거나 깃발이 나부끼듯 휘날린	0
승용차 여러 대 중 한 대만 사람이 타고 나머지는 빈차로 있는	1
갓난아이를 때리는 것을 보는	1
군복을 입지 않고 사복을 입는	1
물통을 던지니 물은 없고 그릇만 굴러 나오는	0
죽순이 갑자기 크게 자라는	1
화투장을 늘어놓고 오광을 떼어 본	1
상대방에게 절을 하고 그가 답례하는 것을 빤히 바라보는	0
누군가에게 피살 당하는	0
도둑 맞는	0
여러 명의 여자와 차례대로 성교하는	0
자기 주변에서 흙먼지가 뿌옇게 발생한	0
사나운 개가 물려고 덤벼 들거나 여러 마리가 한꺼번에 덤벼 드는	0
각기 다른 천으로 누덕누덕 기운 옷을 입는	1
병이 든 아버지를 보는	0
검정 옷을 세탁하여 걸어 놓는	0
도둑에게 칼을 맞는	1
우물가에서 옷을 세탁하는	1
누군가를 엎어놓고 위에서 누른	1
창녀라고 생각되는 여자와 성교하는	0
누군가에게 호통을 치는데 그가 꼼짝도 하지 않고 앉아 있는	1
냄비 속에서 찌개가 요란하게 끓는	0
적기와 아군기가 공중전을 하는 걸 본	1
높이뛰기 등의 운동을 하는	1
썩어서 심한 냄새가 나는 음식물을 먹는	0
돼지우리에서 소변을 보는데 돼지새끼 들이 한꺼번에 몰려와서 받아먹는	1
혼자서 방어하는	0
상대방의 소리만 들린	0
차 앞이 밖으로 향해 있는	1
라이벌에게 패하는	0
가닥으로 되어 있는 밀가루 음식을 먹는	0
살롱이나 다방에 들어갔던	1
젊은 왕의	0
수돗물이 나오지 않는	0
포수가 꿩을 잡아 몸에 지닌	1
전쟁이 발발했는데 적병을 한 병도 죽이지 못하는	0
남에게 라이터를 주는	0
차를 도중에서 탄	1
앉지도 서지도 않은 엉거주춤한 상태로 있던	0
호수나 강물이 얼어 있는	0
높은 곳에서 떨어지던 중 나뭇가지나 전깃줄 등에 걸려 살아난	1
남에게 빼앗길까 봐 숨어서 살며시 음식물을 먹는	0
못난 소녀가 나타나는	0
호도 등을 한입에 깨물어 먹는	1
정신 분석학적 치료나 심리 요법을 행한	1
글씨를 쓰거나 작문하는	1
웃고 있는 소녀를 보는	0
큰 시계를 팔목에 차지 못하고 배에 차는	1
영장에 빨간 줄이 그어져 있는 것을 받아 본	0
작은 발이 나오는	0
낮에 못 다한 연애를속에서 계속하는	1
애정이 가는 입술의	1
거꾸로 서 있는 사람을 보는	1
자신을 해치려는 괴한을 죽인	1
짐을 만재한 화물선이 부두에 닿은	1
해가 둥글지 않고 찌그러져 있는 것을 보는	0
돼지를 통째로 구워서 잘라먹은	1
어려움에 처한 자신을 누군가가 도와주는	1
시장을 걸으며 여기저기 기웃거렸던	1
요란한 전화벨 소리를 들은	1
타인이 자기의 보석을 탐내거나 보는	0
커튼이 열려 있는	0
위험에 처해 있는 사람을 구해주는	0
배가 고프다고 생각한	0
다리 위를 많은 사람이 지나가는 것을 본	0
어떤 일이 됐든 무조건 좋다고 동의하는	1
검객이 죽는	0
다급한 순간에 몸이 말을 듣지 않았던	0
곗돈을 타러 가는데 버스 운전사가 돈 보따리를 주는	1
제사를 지내다가 자기가 퇴주하는	1
장관의	1
이성이 윙크를 했는데 어쩔 줄 몰라 했던	0
인분의 냄새를 맡은	0
승차하고 있는 것이 편하다고 느껴진	1
교실에서 수업을 받는	0
깜박거리는 눈꺼풀의	0
변형된 발에 관한	1
앞에 가는 사람을 뒤따라 가는	1
일에 대해 고통스럽게 생각한	0
명성을 떨친 목사와 함께 있는	1
산에 서 있는 나무가 허술하게 보이는	0
본인이 우상이나 신에게 재물을 바치는	1
자신이 깡패의 리더나 두목이 되는	1
조부모가 나타나는	1
이모가 나타나는	1
미남이 나타나는	1
희극배우가 나타나는	1
마음이 우울해진	0
가족을 버리는	1
가슴에 병이 든	0
높은 곳으로 한없이 올라가는	1
차를 탄 채 하늘을 나는	1
매춘부의	0
얼음판 위를 조심하면서 걸어가는	0
동물의 머리가 여러 개인	1
말을 타고 사람들 앞을 지나 가는데 그들이 우러러 보거나 엎드려 있는	1
자기의 몸을 뱀이 칭칭 감았던	1
팔꿈치가 부어있는	0
시체 앞에서 다른 사람과 함께 운	0
사람이나 짐승 등 움직이는 생명체가 죽은	1
상대방이 통쾌하게 웃는 것을 본	1
의자에 아무도 앉아 있지 않는	1
어떤 사람이 무거운 물건에 짓눌려 있는 것을 본	1
여러 사람이 줄을 서 있는데 그 중 한 사람이 거구로 서 있는	0
친구가 몰라보도록 화장을 짙게 한	0
자신이 하늘에 오르는	1
키 큰 남자가 나타나는	0
수북이 쌓인 인분을 삽으로 옮기는	0
길을 똑바로 가는데 난데없이 장애물이 나타나 그것을 피해서 우회한	0
이빨이 보이는	0
비행기가 폭격하는 것을 본	1
구름처럼 모인 군중들이 미친 사람처럼 광란하는	0
나체화를 보고 성 충동을 일으킨	0
자기의 명함을 남에게 건네준	0
생이를 뽑는	0
전쟁이 나서 피난간	0
방게가 해변가에서 기어 다니는	1
학생이 존경할 수 없는 선생님을 보는	0
아이의 손과 관련된	1
자신을 보고 소가 웃는	0
곤충이 교미하는 것을 구경한	0
다른 사람이 준 실 꾸러미를 가지고 있는	0
도둑에게 역습을 가하는	1
그림을 다른 사람이 보내온	0
집에 문둥병 환자가 찾아온	1
현악기를 가지고 있는	1
타인이 자신의 등을 바라보는	1
자신의 팔이 나오는	1
상대방 옷에 온통 더러운 피가 묻어 있는 것을 보는	0
타오르는 불길을 끈	0
많은 사람들이 모여 비명을 지르는	1
고양이의 눈이 반짝거리는	1
튼튼하게 박힌 기둥에 오르는	1
이성에 대해 욕정이 생긴	0
악한을 처치하는	1
버스에 서서 있다가 빈자리가 생기자 앉았던	1
전쟁이 격렬해진	0
사팔뜨기 눈이 나오는	0
자신이 사람들 앞에서 옷을 벗는	0
어떤 물체에서 무지개 빛이 새어 나오는	1
비위가 상해서 마음이 좋지 않은	0
갱단의 깡패가 되는	0
여성의 얼굴이 보이는	0
뱀이 나무의 줄기처럼 길게 늘어져 있는	0
높은 허공에서 떨어져 머리가 깨져 죽는	1
대나무를 많이 베어서 오는	1
거지가 나타나는	1
유니폼을 벗고 사복을 착용하는	0
자신이 조부모가 되는	1
자신이 매춘부가 되는	1
작업용 장갑을 세탁하는	0
장례식에 굴건을 쓴 사람이 많이 있는	1
부둣가에서 자신이 아는 사람을 전송한	1
땀을 많이 흘리는	0
어린아이와 장기를 두면서 아이의 연령을 헤아린	0
수도꼭지를 틀어도 물이 나오지 않는	0
동물이 사람으로 변하는	1
자신의 소지품을 여러 사람에게 공개하는	1
붕대를 감은 손가락이 있는	0
불결해서 거북한 느낌이 든	0
자신을 누군가 도와주는	1
시험을 치는데 남의 것을 컨닝하는	0
유흥업소와 관계 있는	1
뱀이 온몸을 감고 턱 밑에서 노려 보는	0
거울에 비친 자신의 얼굴을 보는	0
남이 신음소리를 내고 비명을 지르는 모습이 무척 애처롭게 생각된	0
출발 시간을 대합실에서 무료하게 기다린	0
누군가와 겸상을 해서 음식물을 먹는	1
상대방에게 절을 하자 그가 미소 짓는	0
독신녀가 결혼해서 남편과 함께 있는	0
뇌성과 함께 나타난 무지개를 본	0
열쇠구멍에 열쇠가 없는	0
콩팥에 병이 들었으니 어떻게 하면 되느냐고 문의한	1
이성의 허리가 보이는	0
창으로 상대방을 꿰뚫은 채 뽑지 않은	0
마라톤에서 꼴찌로 달리고 있는	0
쪼개진 과일을 얻은	0
사촌이 나타나는	1
자기나 다른 사람이 열쇠구멍을 들여다보는	0
승리라고 쓴 수건을 머리에 동여맨	1
여자가 수건을 쓰고 앉아 있는 것을 보는	0
군대가 서로 싸우는	0
남이 준 손수건을 받는	1
지나가는 사람에게 윙크를 했는데 그가 따라오는	1
인분을 걸어 놓은	1
어두컴컴한 달밤에 상갓집에 가는	1
툇마루에 올라갔던	1
하얀 커튼에 관련된	0
수북이 쌓인 인분을 손으로 주무른	1
경찰이 되는	0
자신의 귀를 보는	0
장어 같은 종류의 미끄러운 물고기를 잡는	1
모르는 사람의 얼굴에 관련된	1
자신의 가족이 나타나는	0
돼지의 크기와 수표가 정비례한	1
적과 싸워서 전사한	1
소를 타고 거리를 나가는	1
소의 다리를 묶어 매단 것을 본	1
싸라기눈이 내리는 것을 구경한	0
시험을 치러 갔는데 지각하는	0
자신의 허리를 보는	0
뱀이 새알을 물어가는	1
누군가의 배를 갈라 죽인	1
우물 안에서 사람이 나오는 것을 본	1
자기 집에 전선줄을 설치한	1
누군가에게 물리는	1
수돗물이 많이 솟지만 받을 그릇이 없는	0
상대방을 보고 감탄한	1
곗돈을 타오는	1
대통령의 복장이 단정하지 못한	0
공을 서로 주고받는	0
악기를 연주하는 것을 남이 본	1
갓난아이의 똥을 손으로 주무르는	1
여왕이 왕좌에 앉아 있는	1
다른 사람의 남편이 나타나는	0
삽으로 집안에 쌓여있는 인분을 뒤적이는	1
경기장에서 도수 체조를 한 것을 본	1
낭떠러지로 뛰어 내리면서 짜릿한 기분을 느낀	1
연애편지를 받은	1
